,equity
2023-01-06,128697.09142268752
2023-01-09,131861.27970040892
2023-01-10,131374.4859677658
2023-01-11,133808.4836465225
2023-01-12,131739.5885211334
2023-01-13,136972.68643201445
2023-01-16,138067.97958434673
2023-01-17,135268.87935222243
2023-01-18,135025.48248590087
2023-01-19,136120.79014600368
2023-01-20,136607.58387864684
2023-01-30,135147.18817294692
2023-01-31,129548.98770869829
2023-02-01,131467.67822910319
2023-02-02,131618.11866131844
2023-02-03,131622.19222296227
2023-02-06,131637.03290789376
2023-02-07,131641.1064695376
2023-02-08,131645.18003118143
2023-02-09,136077.24117997865
2023-02-10,136823.2404685376
2023-02-13,141896.03740934114
2023-02-14,141000.840041673
2023-02-15,141000.840041673
2023-02-16,142045.2443814633
2023-02-17,139956.44459489564
2023-02-20,143238.8379073499
2023-02-21,141150.03812078218
2023-02-22,140851.64196256382
2023-02-23,139210.4453063367
2023-02-24,137270.84359887816
2023-02-27,139061.2383342145
2023-02-28,139061.2383342145
2023-03-01,140404.0388322232
2023-03-02,139956.44459489564
2023-03-03,138912.04025510527
2023-03-06,138912.04025510527
2023-03-07,136226.43925908787
2023-03-08,135480.4399705289
2023-03-09,135128.30400703012
2023-03-10,135132.5019522356
2023-03-13,135147.79578785202
2023-03-14,135151.9937330575
2023-03-15,135156.19167826296
2023-03-16,135160.38962346842
