datetime,primary,formal_f,different
2023-09-06,CASH,159985.SZ,True
2023-09-07,CASH,159985.SZ,True
2023-09-08,CASH,159985.SZ,True
2023-09-11,515220.SH,159985.SZ,True
2023-09-12,515220.SH,159985.SZ,True
2023-09-13,515220.SH,159985.SZ,True
2023-09-14,515220.SH,159985.SZ,True
2023-09-15,515220.SH,159985.SZ,True
2023-09-18,515220.SH,159985.SZ,True
2023-09-19,515220.SH,159985.SZ,True
2023-09-20,515220.SH,159985.SZ,True
2023-09-21,515220.SH,159985.SZ,True
2023-09-22,515220.SH,159985.SZ,True
2023-09-25,515220.SH,CASH,True
2023-09-26,515220.SH,CASH,True
2023-09-27,515220.SH,CASH,True
2023-09-28,515220.SH,CASH,True
2023-10-09,515220.SH,CASH,True
2023-10-12,512010.SH,CASH,True
2023-10-13,512010.SH,CASH,True
2023-11-06,CASH,513200.SH,True
2023-11-07,CASH,513200.SH,True
2023-11-08,CASH,513200.SH,True
2023-11-09,CASH,513200.SH,True
2023-11-10,CASH,513200.SH,True
2023-11-13,CASH,513200.SH,True
2023-11-14,CASH,513200.SH,True
2023-11-15,512760.SH,513200.SH,True
2023-11-16,CASH,513200.SH,True
2023-11-17,CASH,513200.SH,True
2023-11-20,CASH,513200.SH,True
2023-11-21,CASH,513200.SH,True
2023-11-22,CASH,513200.SH,True
2023-11-23,CASH,513200.SH,True
2023-11-24,515220.SH,513200.SH,True
2023-11-27,515220.SH,513310.SH,True
2023-11-28,515220.SH,513310.SH,True
2023-11-29,515220.SH,513310.SH,True
2023-11-30,515220.SH,513310.SH,True
2023-12-01,515220.SH,513310.SH,True
2023-12-04,515220.SH,CASH,True
2023-12-05,515220.SH,CASH,True
2023-12-06,515220.SH,159941.SZ,True
